CRWD,NVDA,AVGO,TSLA,PANW,MSFT,AMZN,AB,AAPL,GOOGL,V,DIS
49,5.30425,31.438,22.635332,75.286667,151.360001,87.475502,28.67,66.730003,67.149498,182.919998,146.210007
47.549999,5.3495,31.506001,23.256001,75.096664,151.130005,86.960503,28.75,67.120003,67.144501,182.259995,146.100006
47.73,5.4335,31.972,23.513332,75.65667,151.699997,87.435997,28.799999,67.692497,67.212502,182.009995,147.589996
47.299999,5.60175,32.779999,23.978666,75.629997,153.240005,88.016502,30.190001,67.864998,67.4245,182.639999,147.759995
49.41,5.59975,31.542,23.892668,75.66333,154.529999,88.046997,30.42,68.787498,67.343498,185.139999,146.380005
49.450001,5.62875,32.313,25.433332,76.563332,155.529999,88.460503,30.23,69.964996,68.035004,186.240005,148.460007
48.389999,5.70725,32.380001,25.266001,76.889999,154.690002,89.532997,30.16,70.102501,67.744499,185.520004,147.729996
50.139999,5.73775,32.743999,26.209999,76.473335,154.369995,89.2015,30.01,69.934998,67.595497,184.899994,146.259995
49.470001,5.8865,32.41,26.936001,76.366669,155.710007,89.613998,30.01,70.004997,67.821999,186.539993,146.149994
49.490002,5.98425,31.9,27.039333,76.669998,157.410004,89.324997,29.98,69.860001,67.560997,188,146.880005
47.849998,5.9705,31.952999,27.948,77.110001,157.410004,89.650002,30.1,71,67.531502,187.080002,144.679993
47.75,5.9655,32.049999,28.35,77.263336,157.380005,89.460503,30.15,71.067497,67.221497,187.570007,145.289993
50.029999,5.97975,31.798,28.729334,77.846664,158.669998,93.438499,30.23,72.477501,68.123497,189.160004,145.699997
48.919998,5.92175,31.653,28.691999,77.756668,158.960007,93.489998,29.950001,72.449997,67.732002,189.389999,145.75
50.029999,5.808,31.346001,27.646667,77.143333,157.589996,92.344498,30.25,72.879997,66.985497,187.830002,143.770004
49.869999,5.8825,31.601999,27.888666,77.083336,157.699997,92.391998,30.26,73.412498,66.969498,187.899994,144.630005
49.439999,5.99775,32.238998,28.684,78.470001,160.619995,94.900497,30.23,75.087502,68.433998,191.119995,148.199997
50.75,5.90175,31.419001,29.534,78.943336,158.619995,93.748497,30.200001,74.357498,68.075996,189.600006,146.5
55.110001,5.9265,31.372,30.102667,80.08667,159.029999,95.143997,30.360001,74.949997,69.890503,189.190002,145.649994
54.75,5.99825,31.264,31.270666,80.546669,157.580002,95.343002,31.200001,74.597504,69.755501,188.690002,145.699997
55.66,6.0095,30.874001,32.809334,79.523331,160.089996,94.598503,31.76,75.797501,70.251999,191.919998,145.399994
55.939999,6.0755,30.625999,32.089333,80.023331,162.089996,95.052498,31.709999,77.407501,70.989502,193.25,144.830002
57.200001,6.108,29.922001,31.876667,79.290001,161.339996,94.157997,31.879999,77.582497,71.447998,193.770004,144.619995
58.970001,6.2995,30.118,34.990665,80.306664,163.279999,94.565002,32.380001,79.239998,72.001503,195.330002,143.880005
59.240002,6.182,30.818001,35.861332,80,162.130005,93.472,32.369999,78.169998,71.529503,196.050003,145.199997
60.25,6.13925,30.313999,34.566666,80.23333,163.179993,93.100998,32.66,77.834999,71.959999,199.800003,144.320007
62.240002,6.22325,30.705,34.232666,81.08667,166.169998,93.897003,33.060001,78.809998,72.508003,200.949997,145.119995
63.450001,6.232,30.879,34.033333,80.690002,167.100006,93.236,33.110001,79.682503,73.975998,204.699997,144.330002
62.240002,6.1985,30.806999,36.48,81.076668,166.5,94.599998,32.98,79.142502,74.112503,207.289993,143.559998
62.57,6.25275,31.297001,37.970669,81.243332,165.699997,94.373001,33.240002,79.425003,74.193497,207.899994,144.009995
61.549999,6.3215,31.965,38.146667,81.633331,166.720001,94.228996,33.73,79.807503,74.234497,206.520004,142.199997
59.25,6.262,32.400002,37.654667,80.966667,165.039993,93.082001,33.619999,79.577499,73.308502,205,140.080002
58.060001,6.005,30.903,37.201332,79.283333,162.279999,91.417,33.419998,77.237503,71.586502,201.690002,135.899994
59.07,6.19925,31.830999,37.793331,79.706665,165.460007,92.662498,33.720001,79.422501,72.525002,202.850006,138.369995
60.259998,6.1385,31.750999,38.732666,79.183334,168.039993,92.900002,33.779999,81.084999,72.834999,204.860001,136.059998
62.450001,6.14525,31.52,42.720669,79.333336,172.779999,93.533997,33.549999,80.967499,72.712502,208.210007,137.809998
61.09,5.91075,30.516001,43.371334,78.260002,170.229996,100.435997,32.75,77.377502,71.639,198.970001,138.309998
61.080002,6.00825,30.523001,52,78.65667,174.380005,100.209999,33.240002,77.165001,74.129997,200.809998,141.320007
63.555,6.17825,31.16,59.137333,80.063332,180.119995,102.483498,33.93,79.712502,72.2705,203.559998,144.729996
61.814999,6.269,31.738001,48.98,80.553329,179.899994,101.9935,34.310001,80.362503,72.302498,202.809998,141.369995
62.189999,6.35625,31.969,49.930668,82.023331,183.630005,102.511497,34.360001,81.302498,73.7985,203.039993,142.699997
62.09,6.28975,31.523001,49.871334,81.940002,183.889999,103.963997,34.299999,80.0075,73.955498,202.740005,141.020004
63.299999,6.57425,31.42,51.418667,82.506668,188.699997,106.695503,34.73,80.387497,75.432999,205.990005,142.589996
65.190002,6.69725,32.015999,51.625332,82.276665,184.440002,107.540001,34.869999,79.902496,75.502998,203.940002,141.009995
65.080002,6.8135,32.470001,51.152668,81.573334,184.710007,108,35.02,81.800003,75.931503,207.440002,141.850006
65.309998,6.7695,32.396999,53.599998,81.870003,183.710007,107.4935,34.549999,81.217499,75.669502,207.399994,140.899994
64.849998,7.24475,31.777,53.335335,82.416664,185.350006,106.7435,34.419998,81.237503,75.936501,210.289993,139.539993
66.040001,7.41425,31.075001,57.226665,83.073334,187.229996,107.783501,35.34,79.75,75.972,211.199997,139.139999
66.029999,7.8675,31.569,61.161331,82.903336,187.279999,108.511002,35.689999,80.904999,76.2435,213.309998,141.300003
63.380001,7.7175,30.924,59.960667,83.046669,184.419998,107.654999,35.82,80.074997,75.849503,211.449997,140.369995
60.93,7.35175,30.450001,60.066666,81,178.589996,104.7985,34.099998,78.262497,74.172997,208.809998,138.970001
58.080002,6.832,29.16,55.585999,79.110001,170.889999,100.4645,33.02,74.544998,70.992996,198.789993,133.009995
