MMM, HON, ITW, JNJ, RTX, ADP
DHI, PHM, NVR, CINF, GPC, MAS
WRB, CB, TRV, ACGL, CINF, BRO
AEE, CMS, LNT, WEC, XEL, EXC
NCLH, CCL, EQR, MAR, O, DOC
SO, LNT, AVB, PEG, UDR, MAR
HST, MAR, HLT, KIM, EQR, FRT
CB, L, BRK-B, V, MA, LNT
CTRA, EQT, L, NEM, None, None
ADM, BG, GIS, ZBH, BRO, GILD
AAL, DAL, UAL, LUV, LIN, ITW
AJG, CB, MCO, BRK-B, EG, LIN
SWK, ITW, MMM, TFX, WM, SHW
DVN, MRO, COP, FANG, EOG, OKE
NDAQ, ICE, CME, FDS, CBOE, TROW
BK, BRK-B, BAC, SCHW, USB, JPM
NTRS, BK, STT, SCHW, BAC, MTB
CTSH, ACN, FIS, D, SWK, UPS
TEL, APTV, ITW, LRCX, IEX, UPS
CAH, MCK, COR, CVS, HSIC, SBUX
IP, PKG, USB, BRO, AEE, DUK
COR, MCK, CVS, ICE, HSIC, HOLX
DXCM, MMM, ABT, CRL, F, TRMB
CDNS, SNPS, ANSS, MPWR, ADBE, MCD
TPR, TJX, CMS, MMC, ACN, SRE
ROP, AME, IEX, RSG, VRSK, HON
PTC, ED, EQIX, MA, MSFT, CB
SHW, ECL, AVY, POOL, CE, O
BIO, TMO, TECH, WST, RVTY, PLD
BX, KKR, TROW, BLK, SBAC, ALLE
DGX, WM, UNH, ABT, IQV, PFE
BIIB, AMGN, REG, GILD, REGN, INCY
HII, GD, LMT, NOC, LHX, J
VRTX, INCY, REGN, AMGN, GILD, MRK
DLR, PLD, GPC, MSFT, AZO, MCO
DIS, CMCSA, MA, L, NWS, NCLH
MDT, BAX, ABT, TFX, JNJ, PLD
COP, MRO, DTE, VLO, BRK-B, WEC
PEG, LNT, DTE, MCO, AEP, BAX
LDOS, NOC, LHX, TDY, AFL, MRK
LHX, NOC, LMT, RTX, DOV, SO
QCOM, TXN, AAPL, MPWR, LRCX, INTC
NWS, OMC, IEX, HII, CMCSA, BRK-B
TDG, LMT, WELL, FICO, PNW, PEG
LVS, MGM, PG, MMC, SHW, AWK
FCX, NEM, LNT, LIN, ITW, HLT
AMCR, DTE, LMT, SHW, L, SWK
DRI, SYY, MCD, PNW, YUM, ED
PPG, SHW, HON, CE, ECL, LIN
LMT, WM, BA, JNJ, ED, ITW
ROL, AJG, ODFL, REG, PEP, MCO
VTR, WELL, DOC, AXP, AIG, BRO
GE, MMM, WEC, EIX, DGX, HON
CAG, GIS, K, SJM, CLX, MDLZ
DVA, UHS, CAH, DGX, PSA, BAX
SRE, SO, NI, DTE, EIX, PEG
BLDR, PHM, WEC, WY, LEN, POOL
HLT, MAR, LIN, MCO, CCL, PLD
WY, O, PLD, AVY, IP, EFX
CPB, GIS, CAG, K, SJM, HRL
JKHY, FI, FIS, CMS, ADP, AMP
CDW, PAYX, APH, MPWR, HPQ, NOW
CL, PEP, CLX, CMS, PEG, CPT
BALL, SPG, VMC, BRO, ES, PEP
TER, LRCX, MPWR, TXN, KO, ORLY
MOS, CF, DTE, BRK-B, EVRG, MA
RVTY, IQV, HOLX, PLD, ABT, AMP
WMB, KMI, GS, MRO, SBAC, None
FMC, ED, APD, DTE, MOS, BALL
URI, CAT, ED, ETN, VMC, AMP
IEX, DOV, ITW, WM, ETN, PNR
WBA, CVS, COR, IPG, KR, WMT
MPWR, LRCX, APH, NVDA, TEL, AFL
MTD, A, WAT, TMO, PNW, IEX
SLB, COP, DTE, CMS, MRO, VLO
WST, ODFL, ROL, O, EW, RSG
GD, LMT, NOC, RTX, TXN, RSG
ATO, LNT, AEP, SO, L, FITB
BBY, HD, TGT, PHM, CMI, FE
