MSFT, MCO, PLD, TDY, WELL, CINF
J, PWR, CAT, LMT, PCAR, HCA
AAPL, MSFT, GOOG, BRK-B, LRCX, MA
EIX, DTE, AEP, ETR, PNW, EXC
EPAM, TROW, LMT, NOW, AMT, OXY
DOV, ITW, ETN, JBHT, SBAC, BLK
KO, PEP, PG, MCD, SO, BRK-B
DAL, MAR, BA, NCLH, BKNG, AXP
PH, ITW, ETN, DOV, WEC, CAT
MDLZ, PEP, GIS, CL, SJM, PG
BF-B, PEP, C, ECL, CLX, ALLE
ARE, BXP, PLD, DOC, DTE, O
MCK, CVS, MRK, RSG, AMP, UNH
LOW, HD, MAS, ED, NVR, WY
META, GOOGL, AFL, MSFT, TROW, AIZ
IDXX, BAC, MCO, HOLX, IQV, ISRG
LULU, DECK, TGT, CRM, CDNS, ROST
DUK, SO, DTE, WEC, AEP, ES
NOC, LMT, RTX, JNJ, ITW, MMC
VLO, L, MAR, PNC, KIM, CTRA
CSX, NSC, UNP, MMC, EMR, BLK
APTV, ITW, PPL, WEC, KEY, BLK
HON, ITW, EMR, RTX, RSG, TXT
DPZ, MCD, POOL, CMG, DGX, AMZN
INCY, MCO, MSFT, None, None, None
WTW, MMC, AJG, BRO, MET, ARE
EFX, MCO, ALLE, AWK, OMC, EXR
HPQ, STX, APH, COP, BRK-B, CAT
AKAM, O, VRSK, JNPR, AMGN, VRSN
WEC, LNT, AEP, SO, AWK, ATO
ALB, CAT, LIN, WELL, MAA, FMC
ALGN, GOOGL, MSFT, IDXX, AVY, CINF
MRO, XEL, VLO, DTE, L, CTRA
VTRS, UHS, REGN, PFE, MRK, EPAM
TXN, WM, MPWR, LRCX, INTC, TEL
ISRG, MDT, TFX, ABT, AAPL, GOOG
EW, MDT, ISRG, ABT, TFX, TER
OXY, XOM, MRO, BLK, COP, DOV
EMR, DTE, ETN, AME, DOV, ITW
XYL, IEX, ITW, ETN, HON, TROW
BAC, PNC, BRK-B, L, PSA, ESS
PRU, MET, PFG, BAC, AIG, BRK-B
EG, CB, L, MCO, WELL, None
