FANG,HAL,VTR,TRGP
SYY,KMI,MPC,SMCI
IRM,PARA,SYY,BX
APA,FCX,HAL,AXON
VLO,MPC,CINF,PCG
TPR,EXR,WYNN,RCL
TSLA,RMD,QCOM,BKNG
GNRC,PHM,HPQ,MHK
ALGN,APTV,GM,EXPE
MHK,TPR,NCLH,DIS
COF,KIM,MGM,MOS
KDP,FFIV,PGR,AWK
BLDR,NCLH,USB,FITB
RCL,VTR,CCL,TRGP
RCL,TRGP,DFS,HAL
CCL,WELL,LEN,OKE
SWK,AEP,SO,AEE
CCL,BX,FRT,RCL
GM,TPR,WYNN,FANG
SWK,WYNN,PARA,MCK
GPN,USB,STT,LKQ
URI,MRO,BAC,AAL
DFS,MO,USB,KMX
ENPH,EQR,AMD,GEN
PCG,CNC,DOC,EIX
MGM,MPC,ON,ELV
ALGN,LKQ,KEY,CAH
AXON,FE,UHS,DFS
SLB,K,OMC,QCOM
DFS,RCL,CCL,ON
HES,EOG,FTNT,COP
HES,MKTX,MGM,ACGL
MPWR,FTNT,WYNN,UAL
MTCH,RCL,AAL,ON
TPR,EQT,AAL,ROK
EXPE,CCL,RCL,NCLH
HOLX,DLTR,HAS,GEN
WMB,CRL,CMG,HCA
WYNN,CTSH,D,XEL
HBAN,PGR,TRMB,TT
EQT,MA,ULTA,BKNG
CPAY,NCLH,MPWR,GPC
MHK,APA,AAL,TFC
RCL,KIM,BG,CSCO
INTC,META,BLDR,BBY
FRT,BAC,MLM,BSX
WYNN,LVS,GEN,CF
KIM,MPWR,GIS,UAL
EOG,TFC,OMC,URI
UAL,BKR,GE,GM
LEN,WY,PHM,NEM
LYB,HAL,SLB,FANG
FIS,WMT,NFLX,ALGN
AFL,TXT,MS,USB
APA,NCLH,DFS,CCL
HBAN,BBWI,UAL,SPG
TPR,AVB,MGM,BXP
UAL,NCLH,RCL,WY
TFC,CINF,AAL,DIS
TFC,MHK,VTR,DHR
UAL,BKNG,QCOM,HSY
BXP,EQR,DAL,AKAM
POOL,NCLH,SWK,FCX
OKE,IVZ,MRO,TRGP
MPC,KIM,WYNN,UAL
STT,CHTR,IPG,MS
LKQ,GM,AMCR,CVX
JCI,GEN,ALGN,CBRE
EXPE,FCX,LRCX,LYV
OKE,URI,BAC,MRO
APA,LKQ,EQT,CPAY
PCG,EQT,MS,WBD
WYNN,ENPH,UAL,ALGN
RCL,NCLH,EQT,VTR
HAL,TRGP,SLB,APA
ENPH,FIS,SO,ATO
NCLH,OKE,MOS,BBWI
AAL,AVB,APA,TPR
BBWI,ELV,JNPR,CTSH
TFC,LEN,PARA,PRU
AXON,ROST,IVZ,CTSH
UHS,STE,ENPH,MPC
ODFL,WMB,BAC,KEY
MGM,JNPR,EA,EOG
PSA,ELV,ADM,PODD
SMCI,EXR,BEN,WDC
NVDA,TSLA,WYNN,LVS
SWK,WTW,HAL,EQT
MGM,ENPH,QCOM,UAL
FCX,CVX,NCLH,STLD
NCLH,MGM,PARA,EQT
FRT,BK,ENPH,SCHW
CF,HAL,NCLH,CNP
CPT,ORLY,EQR,AXON
RVTY,NCLH,CMG,CPT
TRGP,MTCH,WYNN,VTR
WBD,CCL,ZTS,AXON
RMD,VTR,YUM,NXPI
TPR,DAL,MTCH,OKE
COP,FCX,MTCH,META
ENPH,TRGP,RL,TDG
TFX,VTR,AXP,NCLH
EXPE,FICO,MAR,HST
LVS,EMN,MTCH,A
BX,MHK,CCL,MAR
WBD,AAL,BAC,MRO
REG,FRT,GD,KMX
VTR,ADM,INTC,ULTA
OKE,ULTA,INTC,TGT
NVDA,ENPH,TSLA,DPZ
BKR,CCL,ATO,KEY
FTNT,DHR,MGM,TPR
HOLX,DECK,NWS,MTCH
FICO,NTAP,ADBE,PHM
JPM,MET,MA,ALLE
MRO,JNPR,MS,OMC
APA,COF,TER,LRCX
PCG,MA,UAL,DAL
HES,MTCH,PWR,F
EQT,WDC,MCHP,AAL
UNH,PCG,VLO,MOH
EQR,AMP,APTV,MPWR
KMX,LUV,HES,MET
PARA,BKR,EVRG,CNP
PSX,KMX,AXON,NCLH
BAX,CINF,PANW,EQT
TRGP,CCL,PCG,KDP
RTX,REG,ULTA,ROST
TFC,VTR,BX,BBWI
CINF,COF,MGM,AES
WYNN,TPR,LVS,AAL
ENPH,NVDA,MPWR,UAL
ALGN,DD,CRM,WBD
WBD,MRO,SCHW,SWK
VLO,CCL,NCLH,OXY
VLO,LEN,MGM,FE
DXCM,EQR,PPG,EQT
VTR,BA,WELL,AAL
SJM,CAH,WMB,PARA
ALB,DRI,BBWI,XOM
NCLH,BX,APA,PARA
OKE,OXY,TRGP,JBL
GL,CRM,ABBV,COP
ODFL,ALGN,VTR,WYNN
SMCI,GL,WDC,SLB
MOS,WDC,CE,CMG
WDC,CI,SMCI,AIG
TPR,BLDR,WDC,WYNN
RCL,HAS,TPR,NCLH
MRO,TRGP,ODFL,GL
TRGP,CRL,IQV,KMX
SMCI,NI,APA,TRGP
PCG,FITB,MHK,SMCI
APA,ALB,UAL,POOL
NCLH,SBUX,UAL,AMD
PODD,CI,APA,FTNT
MPWR,LUV,APTV,EXPE
TDG,REG,FCX,HES
ENPH,EQT,MGM,NCLH
PARA,TDG,MSI,LYB
GL,ENPH,SBAC,KLAC
EQT,ZBRA,FTNT,MNST
ENPH,MOH,FFIV,EXPE
ZBRA,MRO,META,DLR
WBA,MTD,CI,GL
TFC,EOG,OMC,CTSH
SMCI,DLR,EQT,EW
MOS,WBD,APA,GL
FICO,COR,CCL,SPG
NCLH,CCL,COF,LKQ
RF,META,CBRE,MHK
CCL,PPL,KIM,DRI
ETR,HST,ROST,HUBB
ODFL,GL,DXCM,EQT
WFC,MRO,CCL,IVZ
SBAC,PARA,BIO,COP
CBRE,CVX,FANG,PRU
MRO,RCL,NCLH,EOG
GLW,MHK,IPG,NCLH
WELL,LYV,NCLH,SYY
COF,KKR,WAT,VTR
PANW,META,MPC,AAL
TPR,AES,TJX,ORCL
APA,COP,HES,OXY
CINF,FTNT,APA,TFC
TPR,PARA,FTNT,SWK
TRGP,WMB,EMN,ALGN
PARA,MRO,TRGP,AAL
DHR,LYV,ENPH,FITB
SMCI,META,RL,AMT
WBD,MKC,EXPE,MTB
FCX,NCLH,IQV,BR
TRMB,ODFL,BX,DAL
OKE,HAL,TRGP,COP
IDXX,RCL,AAL,FTNT
LVS,PG,MO,WDC
ENPH,BX,IQV,NCLH
APA,FE,SLB,CTSH
TDG,MSCI,HOLX,COP
AAL,ON,DFS,LRCX
TER,USB,ENPH,CCL
ENPH,IFF,BBWI,HAS
WELL,DRI,LKQ,FRT
IVZ,WFC,FCX,PCG
TPR,BBWI,EMR,EQT
NCLH,LVS,APTV,SWKS
DRI,HIG,WDC,FCX
NKE,PNC,TMO,BLDR
MOS,CNP,AAL,EXPE
PCG,GD,KIM,VLO
RF,FITB,KEY,IQV
RCL,AAL,APA,NCLH
CCL,EQT,HBAN,DFS
ALGN,DXCM,FCX,APA
AXON,KIM,FCX,EIX
MHK,MMM,TMUS,ENPH
CDW,CCL,CNC,DXCM
ON,NVDA,PWR,MGM
NCLH,LYB,URI,RCL
NCLH,APA,FANG,HES
EXPE,FDS,WY,BF-B
CRL,WY,CNP,OKE
EQT,BLDR,PARA,CMI
VTRS,CCL,ON,WBD
ENPH,UAL,MPC,RCL
EQT,PARA,AMT,MRO
DRI,ENPH,OKE,APA
WBD,PSX,AXP,CCL
DLR,NVDA,NFLX,HIG
WBD,META,BLDR,MNST
NVR,KIM,BBWI,BG
MHK,KEY,CCL,TRGP
SPG,MSFT,NCLH,CHD
TPR,APA,BLDR,USB
