FCX,PARA,NCLH,AAL
TRGP,WMB,MPWR,DOV
SMCI,MGM,COST,ETR
SMCI,CVX,ELV,BKR
ROK,APA,WAB,CVS
CMG,CCL,MAS,JNPR
ALGN,QCOM,FMC,MAA
PSX,LVS,NCLH,EQT
WBD,AVGO,TRGP,AFL
NCLH,WBD,OKE,PSX
CCL,MGM,AIZ,PNR
WYNN,CCL,MU,ON
NCLH,LVS,WYNN,CCL
TRGP,SPG,AAL,OKE
SMCI,DECK,HCA,HAS
AXP,WMB,TRGP,COF
OXY,APA,EOG,COF
COF,AIG,HII,RL
SPG,DG,AVGO,WDC
MHK,PSX,PARA,IRM
ETR,PEG,SO,SWK
CCL,UAL,MGM,SO
MO,WBD,PCG,KMX
MKC,TRGP,KMX,AWK
LEN,NVR,PHM,SWK
ALB,UAL,EOG,LUV
MHK,OKE,AMD,UHS
WMB,TRGP,EMR,DOC
NVR,SPG,UHS,APA
TRGP,URI,SWK,CAH
TRGP,MGM,WMB,RCL
UAL,RCL,DRI,NCLH
VTR,APTV,VRTX,HES
WMB,FITB,TRGP,O
LYB,TRGP,NCLH,DOC
C,BLDR,WDC,DVN
AVB,MU,ON,AIZ
GPN,TPR,MA,YUM
C,HBAN,BAC,TRMB
MO,USB,UDR,DFS
AAL,C,UAL,ALB
AAL,DLR,SLB,ZBH
ENPH,EFX,DD,HUM
MHK,ALGN,DVN,TFX
DFS,SMCI,SYY,ROST
JNPR,DXCM,PODD,QCOM
SYY,ON,RCL,CCL
TPR,FCX,CPAY,PCG
BWA,EOG,CTRA,APA
WYNN,MU,MGM,GPN
APTV,SMCI,CVX,AIZ
APD,FCX,EOG,PH
NVR,APD,UHS,SMCI
ALGN,OKE,RCL,CCL
TRGP,LKQ,ENPH,WBD
TPR,CINF,BEN,MTB
HBAN,RCL,ETR,PEG
AIZ,MGM,WYNN,BBY
VRSN,ALB,PNR,TPR
SWK,NVR,RCL,SYK
WYNN,MTCH,EQT,ALGN
VLO,MPC,RCL,SMCI
TRGP,NCLH,A,AAL
OXY,EQT,ON,NWSA
ALGN,CCL,UAL,MGM
RTX,SYK,C,OMC
PCG,UAL,KEY,WYNN
SPG,NTAP,LEN,AVB
DFS,ALGN,SPG,NCLH
APTV,VRSN,NFLX,WMT
HBAN,TRGP,ALGN,MRO
EOG,SMCI,COF,APA
F,UAL,HBAN,HAS
DLR,LDOS,ESS,UDR
BX,AME,MGM,CPAY
DIS,CINF,JNJ,ORCL
SYY,TPR,MHK,COF
UAL,WYNN,AAL,CCL
RMD,HII,TYL,GPN
MOH,OXY,NWSA,MHK
BEN,GPC,EQT,FICO
MOS,UAL,VTR,CCL
MHK,AAL,RCL,ZBH
SPG,CVX,LYB,AMAT
DHI,NVR,PHM,SWK
CPAY,QCOM,WYNN,AVB
RCL,NCLH,MRO,C
TRGP,WMB,APA,BKR
DVN,PSX,XOM,MHK
BKR,NCLH,AXP,CVX
RCL,EQT,NCLH,MHK
OKE,TRGP,CCL,SLB
MGM,AIZ,ENPH,SMCI
DGX,STE,AIG,BA
SPG,JNPR,WBD,SRE
HAL,ETR,EXC,APA
MHK,DFS,OKE,MPC
OXY,RCL,ALLE,IVZ
ENPH,STE,TRGP,AIG
BAC,AAL,GLW,BX
APA,WBA,SWKS,MU
WYNN,CNC,CCL,CME
BKNG,NEM,CI,WDC
LVS,TSLA,TDG,DOC
TSLA,BLDR,DFS,NCLH
PCG,MSCI,AAL,EFX
NCLH,AAL,FCX,AXP
INTC,ORLY,MTB,SPG
ENPH,MHK,ULTA,EQT
AXP,NCLH,DFS,HAL
CME,RMD,ALB,ORLY
AMZN,AOS,CMG,TSN
OKE,OXY,LYV,EL
AAL,TAP,APTV,ALGN
RMD,SYK,EMR,NWSA
UDR,CPAY,CDW,EXPE
FCX,EXR,TRGP,ZTS
AAL,NCLH,MGM,UAL
LKQ,DVN,WDC,TFX
FCX,MGM,EXPE,FFIV
LVS,CVX,SMCI,MTCH
ALGN,CCL,SPG,BX
CMI,WBD,SYK,C
APTV,FANG,TDY,FCX
ADM,OKE,AMD,VTR
ALGN,FCX,NTAP,APTV
CMG,ALGN,OKE,ALB
CCL,HES,MGM,FCX
FCX,PEG,AMP,ETR
DECK,HOLX,IDXX,ADSK
NTAP,LEN,SYY,BA
WYNN,ALGN,FCX,EOG
MRO,OMC,TRMB,USB
AMP,APA,CDW,DXCM
AVGO,COST,DAL,MAR
AAL,NCLH,DG,COST
COST,AVGO,DG,GPC
UNH,MOH,ELV,CNC
FCX,EQT,WMB,BKR
DOC,AVGO,COST,EFX
EXPE,PARA,FIS,OXY
APTV,AXON,HD,FCX
MHK,RTX,DRI,LEN
DG,WMT,GPN,CHTR
MGM,CCL,UAL,KMI
BX,ULTA,BBWI,SYY
MRO,COF,NCLH,AMP
MKTX,AAL,LVS,WYNN
BKR,HAL,DE,ROK
MOS,MGM,EL,UAL
TRMB,TSLA,BBWI,DVN
RCL,ALGN,OXY,TRGP
WMT,LEN,SYY,APA
EOG,NCLH,AAL,MRO
CCL,MPC,BA,DAL
ALB,TRGP,FMC,ADSK
UHS,MRO,ALB,GRMN
MHK,NCLH,AAL,TSLA
SWK,LEN,NVR,BX
GL,ODFL,EOG,BWA
CCL,BKNG,WYNN,ALGN
GL,WDC,SPG,SCHW
GL,WYNN,MGM,FCX
MHK,NCLH,T,WDC
FCX,NCLH,AXP,TRGP
TPR,DLR,ALGN,EXPE
GL,MRO,TRGP,ALGN
MRO,GL,APTV,AXON
RJF,CAT,CMG,NCLH
UAL,PCG,BG,SPG
LEN,HAL,MHK,DRI
CVS,ENPH,MHK,NCLH
AAL,SO,BWA,AEP
