NVDA,KLAC,PTC,MPWR
CINF,STZ,BXP,OKE
DXCM,BLDR,MOH,PARA
AVB,MTCH,REG,TYL
CPAY,SMCI,WYNN,BA
ENPH,PRU,TPR,RCL
CMS,ELV,DVA,MRO
NCLH,CCL,APTV,TDG
FCX,ALLE,CBRE,URI
AVY,PARA,NCLH,SPGI
NI,PARA,DRI,CBRE
DXCM,DHR,TDG,MPC
RCL,CRL,VTR,SYY
EPAM,HUM,SPG,VTRS
MKTX,SYK,FIS,MGM
ZTS,MPC,TDG,CPAY
NWSA,NCLH,NWS,ENPH
PARA,SMCI,BA,DAL
CCL,MGM,MU,WYNN
NCLH,AMAT,ON,MGM
VLO,APA,MRO,RCL
WELL,KEY,VLO,KMI
DAL,AAL,ENPH,PARA
PCG,NCLH,AWK,STZ
IQV,MOH,BLDR,TRGP
BBWI,KEY,ZBRA,WYNN
META,BWA,STLD,ROST
UAL,ROST,NCLH,DAL
LUV,TRGP,MRO,PSA
ENPH,TRGP,CINF,BKR
ALGN,BEN,BLDR,ODFL
ENPH,CF,FCX,MOS
PCG,CCL,KIM,HES
CI,BKR,SMCI,CINF
AEE,TPR,DUK,TTWO
PODD,ENPH,CMG,MAS
ALGN,AMT,AMAT,HOLX
PARA,LVS,WYNN,VTR
VTR,TRGP,OKE,PAYX
WBD,EMR,JBL,ETN
CCL,WYNN,RCL,SYY
WYNN,CCL,ON,PCG
SYK,WYNN,HLT,CCL
OKE,TRGP,WMB,CBRE
SWK,IDXX,HCA,TPR
LKQ,COF,WMB,FITB
EQT,META,BWA,SPG
RL,CF,HAL,TDG
SMCI,WDC,DHR,VTRS
EQT,VTR,PSX,PARA
HAL,SO,PNW,PH
WBD,PARA,LEN,WYNN
PCG,PARA,ODFL,TPR
TSLA,PCG,EXPE,TRGP
GNRC,SWK,HPQ,KKR
O,APTV,ORCL,CCI
NCLH,DFS,DIS,MHK
EMR,TRGP,MGM,AXP
PCG,ALGN,HAL,DD
NCLH,SWK,CCL,CNP
TRGP,BA,CCL,OKE
LUV,AVB,UAL,DFS
NTAP,LUV,ZBRA,MTB
MGM,OKE,TRGP,WMB
ZBRA,TRGP,CCL,SYY
MGM,BLDR,WDC,FANG
POOL,MKTX,MTCH,REGN
MA,PAYX,GPN,GNRC
MRO,AAL,URI,NCLH
TPR,PRU,USB,MO
ENPH,AAL,AIG,DFS
SLB,SPG,PCG,HCA
MPC,BG,ELV,SPG
FANG,DVN,ALGN,LKQ
SMCI,OKE,RF,CBRE
QCOM,FANG,RVTY,MLM
VTR,ON,CCL,RCL
HES,COP,EOG,ODFL
PARA,MGM,VTR,BWA
WYNN,UAL,BKNG,ON
AAL,MHK,MTCH,PARA
TPR,NCLH,MGM,FCX
APD,FITB,PARA,UAL
ALGN,HOLX,TPR,CCL
TRGP,CRL,FIS,EA
LMT,CTSH,IVZ,WYNN
MCO,SYY,HBAN,VTR
VRSN,BKNG,DECK,AES
MHK,TPR,GNRC,BXP
BBWI,SLB,STT,SMCI
WYNN,PCG,EQT,BKNG
